"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","ResponseID","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2021,2021,"AL","Alabama","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","7.2",7.2,NA,NA,3.9,10.5,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-86.63186076199969 32.84057112200048)",NA,"01","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2019,2019,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","5.2",5.2,NA,NA,3.3,7.2,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2015,2015,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.1",4.1,NA,NA,3.7,4.5,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2019,2019,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2015,2015,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.1",4.1,NA,NA,1.8,6.5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.4",3.4,NA,NA,2.6,4.2,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2017,2017,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2021,2021,"AL","Alabama","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","5.9",5.9,NA,NA,5.3,6.4,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-86.63186076199969 32.84057112200048)",NA,"01","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.6",3.6,NA,NA,2.2,5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2011,2011,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","5.3",5.3,NA,NA,3.4,7.2,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2019,2019,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.6",4.6,NA,NA,2.6,6.7,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2020,2020,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.2",3.2,NA,NA,2.8,3.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","6.4",6.4,NA,NA,4.6,8.1,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.6",3.6,NA,NA,2.2,5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.5",4.5,NA,NA,1.9,7,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.1",3.1,NA,NA,2.6,3.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.9",3.9,NA,NA,2,5.7,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.0",4,NA,NA,2,6,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.6",3.6,NA,NA,3.1,4.2,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","9.4",9.4,NA,NA,5.9,12.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.3",4.3,NA,NA,3.9,4.7,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.8",2.8,NA,NA,2.5,3.2,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.7",2.7,NA,NA,1.5,3.9,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","2.8",2.8,NA,NA,1.5,4.2,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2021,2021,"AL","Alabama","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.7",4.7,NA,NA,2.8,6.6,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-86.63186076199969 32.84057112200048)",NA,"01","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.0",3,NA,NA,2.6,3.4,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2020,2020,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","2.9",2.9,NA,NA,2.2,3.7,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.6",3.6,NA,NA,1.6,5.7,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2019,2019,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","5.0",5,NA,NA,3.1,6.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2021,2021,"AL","Alabama","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","5.6",5.6,NA,NA,4.9,6.4,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-86.63186076199969 32.84057112200048)",NA,"01","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","6.9",6.9,NA,NA,5.1,8.7,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2017,2017,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.0",4,NA,NA,2.3,5.7,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.6",3.6,NA,NA,2.4,4.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2015,2015,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.9",3.9,NA,NA,2.6,5.2,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.9",3.9,NA,NA,1.8,6,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.4",4.4,NA,NA,2.6,6.2,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.8",2.8,NA,NA,1.4,4.1,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2011,2011,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.9",2.9,NA,NA,2,3.9,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2015,2015,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.8",3.8,NA,NA,2.2,5.5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2018,2018,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.6",3.6,NA,NA,3.1,4.1,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","2.9",2.9,NA,NA,2.6,3.2,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2017,2017,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.5",4.5,NA,NA,2.1,6.8,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2020,2020,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","5.2",5.2,NA,NA,3.5,7,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2017,2017,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.4",3.4,NA,NA,2.9,3.9,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2021,2021,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","7.2",7.2,NA,NA,5.3,9.1,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2016,2016,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.1",3.1,NA,NA,2.6,3.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-147.72205903599973 64.84507995700051)",NA,"02","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
